Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
19-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.16%,,0.18%,,0.19%,0.25%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,5,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,Thin,,,,
20-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.16%,,0.18%,,0.19%,0.25%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,5,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,Thin,,,,
21-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.16%,,0.18%,,0.19%,0.25%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,5,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,Thin,,,,
24-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.16%,,0.18%,,0.19%,0.25%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,5,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,Thin,,,,
25-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.16%,,0.18%,,0.19%,0.25%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,5,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,Thin,,,,
26-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.16%,,0.18%,,0.19%,0.25%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,5,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,Thin,,,,
27-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.16%,,0.18%,,0.19%,0.25%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,5,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,Thin,,,,
28-Sep-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,Thin,Thin,,,,
1-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,Thin,Thin,,,,
2-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,Thin,Thin,,,,
3-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,Thin,Thin,,,,
4-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.15%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,Thin,Thin,,,,
5-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.09%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,Thin,Thin,,,,
8-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.09%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,Thin,Thin,,,,
9-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.09%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,Thin,Thin,,,,
10-Oct-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.09%,,0.14%,,0.18%,0.24%,0.31%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,DocAdj,,DocAdj,Thin,Thin,,,,
